key,alt,answer
一,"yī (一, 一)",det.: one
在,"zài (在, 在)","in, at, on, etc."
有,"yǒu (有, 有)","have, possess"
個,"ge (個, 个)",m.[general]
我,"wǒ (我, 我)","I, me, ego, self"
不,"bù (不, 不)","non, do not, no, nowise, not, nope, nae, no more, nix"
這,"zhè (這, 这)","now, this, det.: this, it"
了,"le (了, 了)",entirely
他,"tā (他, 他)","he,  she,  it,  they"
也,"yě (也, 也)","also, too, as well, either, even"
就,"jiù (就, 就)","then,  at once,  right away,  an indicator strengthening speaker's evaluation"
人,"rén (人, 人)","person,  people"
都,"dōu (都, 都)","all, even, already"
說,"shuō (說, 说)","speak, talk, explain, scold"
而,"ér (而, 而)",conj.: and yet
我們,"wǒmen (我們, 我们)",we
你,"nǐ (你, 你)",you
要,"yào (要, 要)","must, should"
會,"huì (會, 会)",will
對,"duì (對, 对)",toward
及,"jí (及, 及)",conj.: and
和,"hé (和, 和)",conj.: and
與,"yǔ (與, 与)","conj.: and, together with"
以,"yǐ (以, 以)","using,  taking,  from a point on,  because of"
很,"hěn (很, 很)","pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,"zhǒng (種, 种)",m.[kind]
的,"de (的, 的)",particle: emphasizing an action/situation
大,"dà (大, 大)","great, macro, old, very, vast, tall, big, high, much"
能,"néng (能, 能)",can or to be capable of
著,"zhe (著, 着)",[aspect]
她,"tā (她, 她)","she, her, she  ,"
那,"nà (那, 那)",det.: that
上,"shàng (上, 上)","on, above"
但,"dàn (但, 但)","conj.: but, yet, still, nevertheless, only, merely"
年,"nián (年, 年)",m.[standard]
還,"hái (還, 还)","still, yet, also, too, as well, besides"
可以,"kěyǐ (可以, 可以)","can, may"
最,"zuì (最, 最)","most, to the highest degree, much, superlatively"
自己,"zìjǐ (自己, 自己)","lonesome, number_one, own, ego, self, oneself, name"
為,"wéi (為, 为)",by
來,"lái (來, 来)",to
所,"suǒ (所, 所)",that which
他們,"tāmen (他們, 他们)",they
兩,"liǎng (兩, 两)","det.: two, both sides , either"
各,"gè (各, 各)","det.: each, every"
可,"kě (可, 可)","can, may"
或,"huò (或, 或)","conj.: or, either or"
好,"hǎo (好, 好)",good
等,"děng (等, 等)","conj.: and so on,  etc"
又,"yòu (又, 又)","again, moreover"
將,"jiāng (將, 将)",be about to
因為,"yīnwèi (因為, 因为)","conj.: because, for, on account of"
於,"yū (於, 于)","in, at, to, from, out of, by"
由,"yóu (由, 由)","from, via, by, through, owing/due to"
從,"cóng (從, 从)","from, since, through"
更,"gèng (更, 更)","more, still/even more, further, furthermore"
被,"bèi (被, 被)",by
才,"cái (才, 才)","then and only then,  just now,  only before a number"
已,"yǐ (已, 已)",already
者,"zhě (者, 者)","nominal suffix, one who,  er"
每,"měi (每, 每)",det.: every
次,"cì (次, 次)",m.[activity]
把,"bǎ (把, 把)",indicating pre verbal object as thing dealt with by the action
三,"sān (三, 三)",det.: three
什麼,"shéme (什麼, 什么)","anything, what"
問題,"wèntí (問題, 问题)","problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang up, business, quaere"
其,"qí (其, 其)","det.: its, his, her, their, it, this, that"
讓,"ràng (讓, 让)","allow, induce sb. to do sth."
此,"cǐ (此, 此)","this, det.: this, here"
做,"zuò (做, 做)","make, do"
再,"zài (再, 再)","again, once more, further more , in a higher degree, and then, not"
所以,"suǒyǐ (所以, 所以)","conj.: so, therefore, as a result"
只,"zhǐ (只, 只)","only, merely"
則,"zé (則, 则)","then, in that case"
台灣,"táiwān (台灣, 台湾)",Taiwan
卻,"què (卻, 却)","however, but, yet, indeed"
並,"bìng (並, 并)",conj.: and
位,"wèi (位, 位)","location, digit, m.[general], , status, figure, throne, position, place, condition"
想,"xiǎng (想, 想)","think, suppose, reckon, consider, want to, would like to, feel like doing sth."
去,"qù (去, 去)",in order to
呢,"ne (呢, 呢)",particle: marking quesitons about subject already mentioned; indicating strong affirmation
學生,"xuéshēng (學生, 学生)","academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
表示,"biǎoshì (表示, 表示)","demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
到,"dào (到, 到)",up until
公司,"gōngsī (公司, 公司)","place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
如果,"rúguǒ (如果, 如果)",conj.: if
社會,"shèhuì (社會, 社会)","community, society, monde, social, public"
看,"kàn (看, 看)","see, look at, watch, read, look upon, regard, look after, call on, visit"
小,"xiǎo (小, 小)","small, little, petty, minor;young"
天,"tiān (天, 天)",m.[standard]
因此,"yīncǐ (因此, 因此)","conj.: therefore, consequently"
