我不明白,I do not understand,Wǒ bù míngbái
我不懂了,I do not understand,Wǒ bù dǒngle
請你慢慢地說?,can you speak slowly please?,qǐng nǐ màn man de shuō?
你可以再說一次嗎?,can you say again?,nǐ kěyǐ zàishuō yīcì ma
我不知道怎麼說,I do not know how to say,Wǒ bù zhīdào zěnme shuō
對不起 我的中文不好,I am sorry - my Chinese is bad,Duìbùqǐ wǒ de zhōngwén bù hǎo
這對我來說很難理解,This is difficult for me to understand,Zhè duì wǒ lái shuō hěn nán lǐjiě
,I do not understand what that means,
,I do not understand the meaning,
,you said that too fast,
,can you say it slower?,
,,
,help me say it right,
,help me understand,




